episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
5101, 2340.409295797348, 1, 2.776142003000132, 49, 1867583,                                             1000000, 0.0, 6534.65869140625
5102, -2837.8527266979218, 2, 6.519228196000768, 134, 1867717,                                             1000000, 0.0, 5496.04443359375
5103, -4185.711258769035, 2, 13.94713014899935, 302, 1868019,                                             1000000, 0.0, 5127.88134765625
5104, 1208.9412205815315, 1, 14.735871724999015, 318, 1868337,                                             1000000, 0.0, 5376.30419921875
5105, -3731.9148844480515, 3, 8.934960976999719, 205, 1868542,                                             1000000, 0.0, 5056.3828125
5106, 712.4296647161245, 1, 21.56711753899981, 475, 1869017,                                             1000000, 0.0, 4449.98095703125
5107, -2889.143237352371, 2, 6.530790419999903, 141, 1869158,                                             1000000, 0.0, 4760.61181640625
5108, 1319.0968671739101, 1, 15.33970947600028, 342, 1869500,                                             1000000, 0.0, 4315.998046875
5109, -1613.1352226138115, 1, 37.81040347099952, 851, 1870351,                                             1000000, 0.0, 4409.12890625
5110, -4139.412014842033, 2, 23.35968013299862, 516, 1870867,                                             1000000, 0.0, 4396.4833984375
5111, 1100.700031787157, 1, 20.355372533000264, 451, 1871318,                                             1000000, 0.0, 3795.2294921875
5112, 1037.3388479053974, 1, 10.526117281999177, 224, 1871542,                                             1000000, 0.0, 5223.17529296875
5113, -2581.6404213905334, 3, 1.5163836179999635, 31, 1871573,                                             1000000, 0.0, 3594.73583984375
5114, 480.33243399858475, 1, 16.745256879999943, 379, 1871952,                                             1000000, 0.0, 5752.85107421875
5115, -3086.038255751133, 2, 11.13086893000036, 251, 1872203,                                             1000000, 0.0, 5005.09716796875
5116, 1467.4729624986649, 1, 10.944391533999806, 251, 1872454,                                             1000000, 0.0, 5306.17041015625
5117, 1093.534806355834, 1, 17.944410938000146, 409, 1872863,                                             1000000, 0.0, 4422.72509765625
5118, -6834.740489661694, 2, 38.21775972999967, 869, 1873732,                                             1000000, 0.0, 4819.77685546875
5119, -3691.86362272501, 2, 15.137354363998384, 312, 1874044,                                             1000000, 0.0, 4439.720703125
5120, 427.1541793346405, 1, 21.163284206000753, 433, 1874477,                                             1000000, 0.0, 5381.21142578125
5121, 670.3732004761696, 1, 29.933523161000267, 579, 1875056,                                             1000000, 0.0, 5501.57958984375
5122, 312.6158235669136, 1, 20.396838285998456, 382, 1875438,                                             1000000, 0.0, 4337.70458984375
5123, -4628.08497095108, 2, 22.333495283000957, 428, 1875866,                                             1000000, 0.0, 4482.5634765625
5124, 1632.5119760036469, 1, 14.93947673799994, 285, 1876151,                                             1000000, 0.0, 5243.26416015625
5125, -3201.0213600993156, 3, 7.534277856000699, 142, 1876293,                                             1000000, 0.0, 4853.94775390625
